lastUpdated,title,url
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Elon_Musk
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 4 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Pretoria
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 12 Dece...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Main_Page
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Bachelor_of_Arts
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Elon_Musk_(disambiguation)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 30 July...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Transvaal_(province)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 3 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Bachelor_of_Science
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 24 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 9 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/SpaceX
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 29 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",xAI (company),https://en.wikipedia.org/wiki/XAI_(company)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/University_of_Pennsylvania
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Neuralink
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 12 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,"https://en.wikipedia.org/wiki/Tesla,_Inc."
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/The_Boring_Company
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/X_Corp.
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Twitter
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/OpenAI
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",[<Selector query='//h1/i/text()' data='Bloomberg Billionaires Index'>],https://en.wikipedia.org/wiki/Bloomberg_Billionaires_Index
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",[<Selector query='//h1/i/text()' data='Forbes'>],https://en.wikipedia.org/wiki/Forbes
lastUpdated,title,url
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Elon_Musk
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 12 Dece...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Main_Page
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 3 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Bachelor_of_Science
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Elon_Musk_(disambiguation)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 30 July...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Transvaal_(province)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Bachelor_of_Arts
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 24 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 12 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,"https://en.wikipedia.org/wiki/Tesla,_Inc."
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 4 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Pretoria
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/X_Corp.
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 9 Febru...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/SpaceX
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/University_of_Pennsylvania
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Marc...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Frank_Kreith
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 29 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",xAI (company),https://en.wikipedia.org/wiki/XAI_(company)
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 27 Sept...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Anne_S._Kiremidjian
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Neuralink
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Twitter
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 27 Sept...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Julia_Weertman
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 15 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/The_Boring_Company
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 29 Nove...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Gregory_Stephanopoulos
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 19 Nove...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Andrew_Viterbi
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 6 Octob...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Leslie_E._Robertson
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 29 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Free_content
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 17 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Yvonne_Claeys_Brill
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 4 Novem...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Gavriel_Salvendy
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 20 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Kristina_M._Johnson
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Wikipedia
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 13 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Weibo
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 29 Janu...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",[<Selector query='//h1/i/text()' data='The Autobiography of Benjamin Franklin'>],https://en.wikipedia.org/wiki/The_Autobiography_of_Benjamin_Franklin
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 14 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Hyundai_Motor_Manufacturing_Alabama
"[<Selector query='//li[@id=""footer-info-lastmod""]/text()' data=' This page was last edited on 11 Febr...'>, <Selector query='//li[@id=""footer-info-lastmod""]/text()' data='.'>]",,https://en.wikipedia.org/wiki/Noble_savage
